query,ground_truth,contexts,doc_metadata
"Hey, do you have any white tops for girls from Gini and Jony in a large size?","Yes, the Gini and Jony Girls Knit White Top (ProductId: 42419) is available in size Large. You can view it at https://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg","['ProductId: 42419\nGender: Girls\nCategory: Apparel\nSubCategory: Topwear\nProductType: Tops\nColour: White\nUsage: Casual\nProductTitle: Gini and Jony Girls Knit White Top\nImage: 42419.jpg\nImageURL: https://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg\nSize: Large, X-Small, Small']","{'source': 'fashion.csv', 'row': 0}"
I'm looking for a black top for my daughter. Do you have any options?,"Yes, we have the Gini and Jony Girls Black Top (ProductId: 34009). It's available in sizes Medium, X-Small, and Small. You can view it at https://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg","['ProductId: 34009\nGender: Girls\nCategory: Apparel\nSubCategory: Topwear\nProductType: Tops\nColour: Black\nUsage: Casual\nProductTitle: Gini and Jony Girls Black Top\nImage: 34009.jpg\nImageURL: https://assets.myntassets.com/v1/images/style/properties/dce310e4c15223a6c964631190263284_images.jpg\nSize: Medium, X-Small, Small']","{'source': 'fashion.csv', 'row': 1}"
I'm looking for a blue casual top for my daughter. Do you have anything from Gini and Jony?,"Yes, we have the Gini and Jony Girls Pretty Blossom Blue Top (ProductId: 40143). It's a casual blue top available in sizes Medium, Small, X-Large, X-Small, and Large. You can view it at https://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg","['ProductId: 40143\nGender: Girls\nCategory: Apparel\nSubCategory: Topwear\nProductType: Tops\nColour: Blue\nUsage: Casual\nProductTitle: Gini and Jony Girls Pretty Blossom Blue Top\nImage: 40143.jpg\nImageURL: https://assets.myntassets.com/v1/images/style/properties/fc3c1b46906d5c148c45f532d0b3ffb5_images.jpg\nSize: Medium, Small, X-Large, X-Small, Large']","{'source': 'fashion.csv', 'row': 2}"
"Hi, I'm looking for a cute pink top for my daughter. Do you have anything with a fun slogan?","Yes, we have the Doodle Kids Girls Pink I love Shopping Top. It's a casual top, ProductId: 23623, and it's available in sizes Large, X-Small, X-Large, Medium, and Small. You can see it here: https://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg","['ProductId: 23623\nGender: Girls\nCategory: Apparel\nSubCategory: Topwear\nProductType: Tops\nColour: Pink\nUsage: Casual\nProductTitle: Doodle Kids Girls Pink I love Shopping Top\nImage: 23623.jpg\nImageURL: https://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg\nSize: Large, X-Small, X-Large, Medium, Small']","{'source': 'fashion.csv', 'row': 3}"
I'm looking for some black capris for my daughter. Do you have any?,"Yes, we have the Gini and Jony Girls Black Capris (ProductId: 47154). They are available in sizes Large, X-Small, and Small. You can see them at https://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg.","['ProductId: 47154\nGender: Girls\nCategory: Apparel\nSubCategory: Bottomwear\nProductType: Capris\nColour: Black\nUsage: Casual\nProductTitle: Gini and Jony Girls Black Capris\nImage: 47154.jpg\nImageURL: https://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg\nSize: Large, X-Small, Small']","{'source': 'fashion.csv', 'row': 4}"
"Hey, do you have any white tops for girls in a medium size?","Yes, we have the Doodle Kids Girls City Chic White Top (ProductId: 25520) available in Medium. You can see it here: https://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg","['ProductId: 25520\nGender: Girls\nCategory: Apparel\nSubCategory: Topwear\nProductType: Tops\nColour: White\nUsage: Casual\nProductTitle: Doodle Kids Girls City Chic White Top\nImage: 25520.jpg\nImageURL: https://assets.myntassets.com/v1/images/style/properties/416f7bd57546242fd72a817de0d517e5_images.jpg\nSize: X-Large, Large, Medium']","{'source': 'fashion.csv', 'row': 5}"
Do you have any pink tops for girls in size medium?,"Yes, we have the Palm Tree Girls Pink Top (ProductId: 31120) available in size Medium. You can view it at https://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg","['ProductId: 31120\nGender: Girls\nCategory: Apparel\nSubCategory: Topwear\nProductType: Tops\nColour: Pink\nUsage: Casual\nProductTitle: Palm Tree Girls Pink Top\nImage: 31120.jpg\nImageURL: https://assets.myntassets.com/v1/images/style/properties/83f4ab34db71459ba1f80bb8992cf9d5_images.jpg\nSize: X-Small, X-Large, Medium']","{'source': 'fashion.csv', 'row': 6}"
"Hi, I'm looking for a red top for my daughter. Do you have anything in an X-Large size?","Yes, we have the Gini and Jony Girls Red Top, ProductId: 31118, in X-Large. You can view it at https://assets.myntassets.com/v1/images/style/properties/1e3b40d501f5fbbceeab3879db474932_images.jpg",['ProductId: 31118\nGender: Girls\nCategory: Apparel\nSubCategory: Topwear\nProductType: Tops\nColour: Red\nUsage: Casual\nProductTitle: Gini and Jony Girls Red Top\nImage: 31118.jpg\nImageURL: https://assets.myntassets.com/v1/images/style/properties/1e3b40d501f5fbbceeab3879db474932_images.jpg\nSize: X-Large'],"{'source': 'fashion.csv', 'row': 7}"
"I'm looking for some olive green capris for my daughter, can you show me what you have?",We have the Do u speak Green Girls Olive 3/4 Pant (ProductId: 54923). It is available in X-Small. You can view it here: https://assets.myntassets.com/v1/images/style/properties/Do-u-speak-Green-Girls-Olive-34-Pant_62311570aeebd7385030de554584a065_images.jpg,['ProductId: 54923\nGender: Girls\nCategory: Apparel\nSubCategory: Bottomwear\nProductType: Capris\nColour: Olive\nUsage: Casual\nProductTitle: Do u speak Green Girls Olive 3/4 Pant\nImage: 54923.jpg\nImageURL: https://assets.myntassets.com/v1/images/style/properties/Do-u-speak-Green-Girls-Olive-34-Pant_62311570aeebd7385030de554584a065_images.jpg\nSize: X-Small'],"{'source': 'fashion.csv', 'row': 8}"
"I'm looking for a black dress for my daughter, something casual. What do you have?","We have the Gini and Jony Girls Black Dress (ProductId: 31127). It's a casual dress available in sizes X-Large, Large, Small, and X-Small. You can view it at https://assets.myntassets.com/v1/images/style/properties/1f7c87ee0ac12c35df8c1dd28e2cd692_images.jpg","['ProductId: 31127\nGender: Girls\nCategory: Apparel\nSubCategory: Dress\nProductType: Dresses\nColour: Black\nUsage: Casual\nProductTitle: Gini and Jony Girls Black Dress\nImage: 31127.jpg\nImageURL: https://assets.myntassets.com/v1/images/style/properties/1f7c87ee0ac12c35df8c1dd28e2cd692_images.jpg\nSize: X-Large, Large, Small, X-Small']","{'source': 'fashion.csv', 'row': 9}"
